"user_id","username","avatar","2022_leagues","createdAt","updatedAt","2023_leagues","2021_leagues","2020_leagues","2019_leagues","2018_leagues"
"424411578541023232","BigDaveDizzle","1603690f61a55a8189115ea89f98bc7e","[""844329628356169728"", ""843584180775391232"", ""784446703431467008"", ""785195070012919808"", ""787207812437663744"", ""787941292998074368"", ""784453200983015424"", ""854255295499743232"", ""849465362402635776"", ""788972205332680704"", ""786057026525757440"", ""784470772314914816"", ""787415534554701824"", ""784647571896426496"", ""786649762375012352"", ""850561059071823872""]","2023-01-12 00:31:32.479+00","2023-01-12 00:31:32.479+00",NULL,NULL,NULL,NULL,NULL
"434480163267276800","MNFC","516245ac578c91ec6faa2045dededf03","[""866441608210587648"", ""808424889512996864"", ""804886890753961984"", ""794047999000047616"", ""786431173407678464"", ""784505239733678080"", ""784361585476042752""]","2022-12-28 22:08:25.263+00","2023-01-01 17:25:59.152+00",NULL,NULL,NULL,NULL,NULL
"434505378563092480","jjJohnnyjon","bddf734b4120457d0088af7945af5392","[""866441608210587648"", ""808424889512996864"", ""804886890753961984"", ""784511151819046912"", ""784361585476042752""]","2022-12-28 22:20:14.189+00","2023-01-13 13:42:11.602+00",NULL,NULL,NULL,NULL,NULL
"435458329087569920","Smitty207","5105be79ebd4710071bee85b4b031b8b","[""847869413683232768"", ""785177437993582592"", ""787926143876595712"", ""784466817572843520"", ""861609657922371584""]","2023-01-02 00:57:22.645+00","2023-01-02 00:57:22.645+00",NULL,NULL,NULL,NULL,NULL
"435483482039250944","MaxPhillyFan7","f173ec5bf64ff586b551e39ad6a20547","[""785346094883336192"", ""785340454513270784"", ""785275083114598400"", ""785228661463916544"", ""785225334659358720"", ""785221004644487168"", ""785215668223078400"", ""785206355102445568"", ""785203334943543296"", ""785202365803466752"", ""785196756928442368"", ""784996625826332672"", ""785195070012919808"", ""785177437993582592"", ""785175819197767680"", ""785154826853011456"", ""785057244806017024"", ""785055850581647360"", ""785051624241496064"", ""785035274190180352"", ""784971490989867008"", ""784967060399730688"", ""784950444484059136"", ""784949107864260608"", ""784944809390522368"", ""784832514249392128"", ""784826557876277248"", ""784825450848485376"", ""784824020758556672"", ""784822734478823424"", ""784820973156372480"", ""784811951116193792"", ""785688989867950080"", ""784481793347850240"", ""785961026985484288"", ""786828923865538560"", ""786425200576237568"", ""785230575593218048"", ""819710035885166592"", ""784535404186562560"", ""807651381077991424"", ""786432483213361152"", ""786431933210103808"", ""786431644054781952"", ""786431397568045056"", ""786431173407678464"", ""786430856779681792"", ""861242347944534016"", ""870127018753347584"", ""861622715205947392"", ""861609657922371584"", ""870842707218722816""]","2022-12-31 20:58:15.951+00","2022-12-31 20:58:15.951+00",NULL,NULL,NULL,NULL,NULL
"436033057682616320","FalseTruther","e5599f6d3d57f26875ef37cb0b5c7d60","[""784483459979685888"", ""784492071800176640"", ""784470707445891072"", ""786432483213361152"", ""785745310600421376"", ""807487568768782336"", ""784963931130228736"", ""784543501344972800"", ""785077032546582528"", ""784908122132209664"", ""833192765239193600"", ""786191563520135168"", ""822933971221458944""]","2022-12-28 21:34:57.91+00","2022-12-31 20:57:03.85+00",NULL,NULL,NULL,NULL,NULL
"442914419693842432","wargie3","0dba817327ac9adeb883a042ec6f846f","[""913888263323213824"", ""869786524445999104"", ""866438331150536704"", ""860611092110479360"", ""853778457975468032"", ""824784169761607680"", ""811634342697771008"", ""799805686421786624"", ""786780591336062976"", ""786741760536723456"", ""786369088258682880"", ""785604294396329984"", ""785346050201354240"", ""785254515371831296"", ""785234408209788928"", ""785184142282399744"", ""784894482230394880"", ""784892446139092992"", ""784649470792110080"", ""784538487763427328"", ""784479874730590208"", ""784452328924274688"", ""784451939571220480""]","2023-01-08 22:46:25.379+00","2023-01-09 14:31:45.406+00",NULL,NULL,NULL,NULL,NULL
"443154810141667328","dknights","d74ae2680051068f29cea58e71dec141","[""913888263323213824"", ""913873115695071232"", ""786786852072988672"", ""784855199805267968"", ""784526504309739520"", ""784521760971300864"", ""784505024251297792"", ""784479874730590208"", ""784462681817149440"", ""784435576869896192""]","2023-01-08 22:43:07.659+00","2023-01-09 14:31:27.568+00",NULL,NULL,NULL,NULL,NULL
"445714730607177728","leighbert","d8136cfbf8f959ca16e3750878022aca","[""784511196228374528"", ""788396590376292352"", ""849645245854511104"", ""784473867681910784"", ""784485344237191168"", ""784480603549671424"", ""810605911612719104"", ""784632105098436608"", ""796886816098758656"", ""784483694776811520"", ""802820547422556160"", ""787079176854327296"", ""784972650182193152"", ""833192765239193600"", ""784481793347850240"", ""788167802342219776"", ""852244145564168192"", ""785248207155404800"", ""785001235995553792"", ""784480829228298240"", ""784439484921008128"", ""784465110017130496"", ""784489461152198656"", ""784431733578821632"", ""786105595173548032"", ""806640880369917952"", ""784475076643901440"", ""844779992717037568"", ""786082695372836864"", ""834237842413711360"", ""858893759969079296""]","2023-01-09 19:30:53.328+00","2023-01-09 19:30:53.328+00",NULL,NULL,NULL,NULL,NULL
"448624945170214912","Bernert","7a5ff4e3efb8fb5b82863d782b970f0d","[""858893759969079296"", ""823288874687135744"", ""786320042970177536"", ""803700679037292544"", ""786827379837423616"", ""786105595173548032"", ""784972650182193152""]","2022-12-28 21:53:46.01+00","2022-12-28 21:57:44.507+00",NULL,NULL,NULL,NULL,NULL
"451599764643901440","repoman34","9af57bf732c655bed5049dc29a117d64","[""867209680596967424"", ""863284068895293440"", ""842472277705609216"", ""814535692687351808"", ""790064894023176192"", ""789014491118563328"", ""788633338364682240"", ""787695934791368704"", ""787386984896253952"", ""787237941893328896"", ""786770217861799936"", ""786399089691656192"", ""785362845234737152"", ""785231931091623936"", ""784971490989867008"", ""784916192136642560"", ""784639777730318336"", ""784565192561414144"", ""784555017846784000"", ""784501978825928704"", ""784492039680172032"", ""784491416154935296"", ""784459356518330368"", ""784356454403579904"", ""791379650956869632"", ""784593286303285248""]","2022-12-26 20:46:41.519+00","2022-12-27 02:12:17.101+00",NULL,NULL,NULL,NULL,NULL
